Bankleitzahl;Merkmal;Bezeichnung;PLZ;Ort;Kurzbezeichnung;PAN;BIC;PrÅfziffer-berechnungs-methode;Datensatz-nummer;énderungs-kennzeichen;Bankleitzahl-lîschung;Nachfolge-Bankleitzahl
10000000;1;Bundesbank;10591;Berlin;BBk Berlin;20100;MARKDEF1100;09;011380;U;0;00000000
10010010;1;Postbank;10916;Berlin;Postbank Berlin;10010;PBNKDEFFXXX;24;000538;U;0;00000000
10010111;1;SEB;10789;Berlin;SEB Berlin;25805;ESSEDE5F100;13;005361;U;0;00000000
10010424;1;Aareal Bank;10666;Berlin;Aareal Bank;26910;AARBDE5W100;09;004795;U;0;00000000
10011001;1;N26 Bank;10179;Berlin;N26 Bank Berlin;;NTSBDEB1XXX;09;056796;U;0;00000000
10019610;1;Dexia Kommunalbank Deutschland;10969;Berlin;Dexia Berlin;;DXIADEBBXXX;09;055273;U;0;00000000
10020200;1;BHF-BANK;10117;Berlin;BHF-BANK Berlin;25155;BHFBDEFF100;60;004794;U;0;00000000
10020500;1;Bank fÅr Sozialwirtschaft;10178;Berlin;Bank fÅr Sozialwirtschaft;25013;BFSWDE33BER;09;000530;U;0;00000000
10020510;1;Bank fÅr Sozialwirtschaft;10178;Berlin;Sozialbank Berlin;;BFSWDE33BER;09;056659;U;0;00000000
10020520;1;Bank fÅr Sozialwirtschaft;10178;Berlin;Sozialbank Berlin;;BFSWDE33BER;09;056662;U;0;00000000
10020890;1;UniCredit Bank - HypoVereinsbank;10896;Berlin;UniCredit Bank-HypoVereinbk;22014;HYVEDEMM488;99;039785;U;0;00000000
10020890;2;UniCredit Bank - HypoVereinsbank;14532;Kleinmachnow;UniCredit Bank-HypoVereinbk;22014;HYVEDEMM488;99;049352;U;0;00000000
10020890;2;UniCredit Bank - HypoVereinsbank;16515;Oranienburg;UniCredit Bank-HypoVereinbk;22014;HYVEDEMM488;99;049745;U;0;00000000
10020890;2;UniCredit Bank - HypoVereinsbank;14776;Brandenburg an der Havel;UniCredit Bank-HypoVereinbk;22014;HYVEDEMM488;99;049746;U;0;00000000
10020890;2;UniCredit Bank - HypoVereinsbank;15711;Kînigs Wusterhausen;UniCredit Bank-HypoVereinbk;22014;HYVEDEMM488;99;049747;U;0;00000000
10030200;1;Berlin Hyp;10787;Berlin;Berlin Hyp;26706;BHYPDEB2XXX;09;037413;U;0;00000000
10030400;1;ABK Allgemeine Beamten Bank;10115;Berlin;ABK Bank Berlin;25686;ABKBDEB1XXX;09;044427;U;0;00000000
10030500;1;Bankhaus Lîbbecke;10117;Berlin;Bankhaus Lîbbecke Berlin;26225;LOEBDEBBXXX;09;043961;U;0;00000000
10030600;1;North Channel Bank;55118;Mainz;North Channel Bank Mainz;26205;GENODEF1OGK;88;000532;U;0;00000000
10030700;1;Eurocity Bank;60311;Frankfurt am Main;Eurocity Bank;26535;DLGHDEB1XXX;16;044339;U;0;00000000
10031000;1;EIS Einlagensicherungsbank;10178;Berlin;EIS Bank Berlin;;EIEGDEB1XXX;09;056711;U;0;00000000
10033300;1;Santander Consumer Bank;10439;Berlin;Santander Bank Berlin;29411;SCFBDE33XXX;09;055979;U;0;00000000
10040000;1;Commerzbank, Filiale Berlin 1;10891;Berlin;Commerzbank Fil. Berlin 1;24100;COBADEBBXXX;13;024463;U;0;00000000
10040005;1;Commerzbank, Filiale Berlin 3;10891;Berlin;Commerzbank Fil. Berlin 3;24001;COBADEBBXXX;13;056713;U;0;00000000
10040010;1;Commerzbank, CC SP;10877;Berlin;Commerzbank CC SP, Berlin;;COBADEFFXXX;09;056240;U;0;00000000
10040048;1;Commerzbank GF-B48;10891;Berlin;Commerzbank BER GF-B48;24148;COBADEFFXXX;13;055618;U;0;00000000
10040060;1;Commerzbank Gf 160;10891;Berlin;Commerzbank Gf 160 Berlin;24101;COBADEFFXXX;09;052880;U;0;00000000
10040061;1;Commerzbank Gf 161;10891;Berlin;Commerzbank Gf 161 Berlin;24102;COBADEFFXXX;09;052894;U;0;00000000
10040062;1;Commerzbank CC;10783;Berlin;Commerzbank CC Berlin;;COBADEFFXXX;09;055826;U;0;00000000
10040063;1;Commerzbank CC;10783;Berlin;Commerzbank CC Berlin;;COBADEFFXXX;09;055827;U;0;00000000
10040085;1;Commerzbank, Gf Web-K;10877;Berlin;Commerzbank Gf WK, Berlin;;COBADEFFXXX;13;056368;U;0;00000000
10045050;1;Commerzbank Service-BZ;10785;Berlin;Commerzbank Service-BZ;;COBADEFFXXX;13;050927;U;0;00000000
10050000;1;Landesbank Berlin - Berliner Sparkasse;10889;Berlin;LBB - Berliner Sparkasse;51000;BELADEBEXXX;B8;002745;U;0;00000000
10050005;1;Landesbank Berlin - E 1 -;10889;Berlin;Landesbank Berlin - E 1 -;51005;BELADEB1DB5;C6;047222;U;0;00000000
10050006;1;Landesbank Berlin - E 2 -;10889;Berlin;Landesbank Berlin - E 2 -;51006;BELADEB1DB6;D1;047223;U;0;00000000
10050007;1;Landesbank Berlin - E 3 -;10889;Berlin;Landesbank Berlin - E 3 -;51007;BELADEB1DB7;D4;055701;U;0;00000000
10050008;1;Landesbank Berlin - E 4 -;10889;Berlin;Landesbank Berlin - E 4 -;51008;BELADEB1DB8;E2;055699;U;0;00000000
10050020;1;LBB S-Kreditpartner, Berlin;10715;Berlin;LBB S-Kreditpartner, Berlin;;SKPADEB1XXX;B8;055974;U;0;00000000
10050500;1;LBS Ost Berlin;10405;Berlin;LBS Ost Berlin;;LBSODEB1BLN;09;046141;U;0;00000000
10050999;1;DekaBank;60040;Frankfurt am Main;DekaBank;;DGZFDEFFBER;09;004788;U;0;00000000
10060198;1;Pax-Bank;14005;Berlin;Pax-Bank Berlin;61335;GENODED1PA6;06;047622;U;1;37060193
10061006;1;Bank fÅr Kirche und Diakonie - KD-Bank Gf Sonder-BLZ;10117;Berlin;KD-Bank Berlin;;GENODED1KDB;09;055270;U;0;00000000
10070000;1;Deutsche Bank Fil Berlin;10883;Berlin;Deutsche Bank Fil Berlin;27060;DEUTDEBBXXX;63;004787;U;0;00000000
10070000;2;Deutsche Bank Fil Berlin Gf P2;10883;Berlin;Deutsche Bank Fil Berlin;27703;;63;055917;U;0;00000000
10070000;2;Deutsche Bank Fil Berlin Gf P2;10883;Berlin;Deutsche Bank Fil Berlin;27700;;63;056400;U;0;00000000
10070024;1;Deutsche Bank Privat und GeschÑftskunden F 700;10883;Berlin;Deutsche Bank PGK Berlin;21060;DEUTDEDBBER;63;049758;U;0;00000000
10070024;2;Deutsche Bank Privat und GeschÑftskunden F 700 Gf P2;10883;Berlin;Deutsche Bank PGK Berlin;21703;;63;055916;U;0;00000000
10070024;2;Deutsche Bank Privat und GeschÑftskunden F 700 Gf P2;10883;Berlin;Deutsche Bank PGK Berlin;21700;;63;056401;U;0;00000000
10070100;1;Deutsche Bank Fil Berlin II;10883;Berlin;Deutsche Bank Fil Berlin II;27701;DEUTDEBB101;63;053102;U;0;00000000
10070124;1;Deutsche Bank Privat und GeschÑftskd Berlin II;10883;Berlin;Deutsche Bank PGK Berlin II;21701;DEUTDEDB101;63;053103;U;0;00000000
10070848;1;Deutsche Bank Privat und GeschÑftskunden F 848;10623;Berlin;Deutsche Bank PGK Berlin;21848;DEUTDEDB110;63;055502;M;0;00000000
10077777;1;norisbank;10625;Berlin;norisbank Berlin;21431;NORSDE51XXX;63;053532;U;0;00000000
10080000;1;Commerzbank vormals Dresdner Bank Filiale Berlin I;10877;Berlin;Commerzbank Fil I Berlin;28100;DRESDEFF100;76;024465;U;0;00000000
10080005;1;Commerzbank vormals Dresdner Bank Zw A;10623;Berlin;Commerzbank Berlin Zw A;;DRESDEFFI26;76;046513;U;0;00000000
10080006;1;Commerzbank vormals Dresdner Bank Zw B;10623;Berlin;Commerzbank Berlin Zw B;;DRESDEFFXXX;76;046514;U;0;00000000
10080055;1;Commerzbank vormals Dresdner Bank Zw 55;10623;Berlin;Commerzbank Zw 55 Berlin;28101;DRESDEFF112;76;053527;U;0;00000000
10080057;1;Commerzbank vormals Dresdner Bank Gf ZW 57;10877;Berlin;Commerzbk ZW 57 Berlin;28103;DRESDEFF114;76;053520;U;0;00000000
10080085;1;Commerzbank vormals Dresdner Bank Gf PCC DCC-ITGK 3;10877;Berlin;Commerzbank ITKG3 Berlin;;DRESDEFFI53;09;054940;U;0;00000000
10080086;1;Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 4;10877;Berlin;Commerzbank ITGK4 Berlin;;DRESDEFFI71;09;055157;U;0;00000000
10080087;1;Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 5;10877;Berlin;Commerzbank ITGK5 Berlin;;DRESDEFFI72;09;055158;U;0;00000000
10080088;1;Commerzbank vormals Dresdner Bank IBLZ;10623;Berlin;Commerzbank IBLZ Berlin;;DRESDEFFXXX;76;044595;U;0;00000000
10080089;1;Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 6;10877;Berlin;Commerzbank ITGK6 Berlin;;DRESDEFFI73;09;055159;U;0;00000000
10080900;1;Commerzbank vormals Dresdner Bank Filiale Berlin III;10877;Berlin;Commerzbk Fil III Berlin;28109;DRESDEFF199;76;000534;U;0;00000000
10089260;1;Commerzbank vormals Dresdner Bank ITGK;10877;Berlin;Commerzbank ITGK Berlin;;DRESDEFFI14;09;050474;U;0;00000000
10089999;1;Commerzbank vormals Dresdner Bank ITGK 2;10117;Berlin;Commerzbank ITGK 2 Berlin;;DRESDEFFI99;09;052938;U;0;00000000
10090000;1;Berliner Volksbank;10892;Berlin;Berliner VB Berlin;91001;BEVODEBBXXX;06;023299;U;0;00000000
10090000;2;Berliner Volksbank;15711;Kînigs Wusterhausen;Berliner VB Kînigs Wusterhs;91001;;06;044951;U;0;00000000
10090000;2;Berliner Volksbank;14979;Gro·beeren;Berliner VB Gro·beeren;91001;;06;044952;U;0;00000000
10090000;2;Berliner Volksbank;16816;Neuruppin;Berliner VB Neuruppin;91001;;06;044970;U;0;00000000
10090000;2;Berliner Volksbank;16515;Oranienburg;Berliner VB Oranienburg;91001;;06;044974;U;0;00000000
10090000;2;Berliner Volksbank;15344;Strausberg;Berliner VB Strausberg;91001;;06;045010;U;0;00000000
10090000;2;Berliner Volksbank;16792;Zehdenick;Berliner VB Zehdenick;91001;;06;045019;U;0;00000000
10090000;2;Berliner Volksbank;14547;Beelitz;Berliner Volksbank Beelitz;91001;;06;045734;U;0;00000000
10090000;2;Berliner Volksbank;14929;Treuenbrietzen;Berliner VB Treuenbrietzen;91001;;06;046045;U;0;00000000
10090000;2;Berliner Volksbank;15757;Halbe;Berliner VB Halbe;91001;;06;046047;U;0;00000000
10090000;2;Berliner Volksbank;16321;Bernau bei Berlin;Berliner VB Bernau;91001;;06;046058;U;0;00000000
10090000;2;Berliner Volksbank;14641;Nauen;Berliner VB Nauen;91001;;06;046770;U;0;00000000
10090000;2;Berliner Volksbank;16766;Kremmen;Berliner VB Kremmen;91001;;06;047003;U;0;00000000
10090000;2;Berliner Volksbank;16540;Hohen Neuendorf;Berliner VB Hohen Neuendorf;91001;;06;047004;U;0;00000000
10090000;2;Berliner Volksbank;14542;Werder (Havel);Berliner VB Werder;91001;;06;047007;U;0;00000000
10090000;2;Berliner Volksbank;16866;Kyritz;Berliner VB Kyritz;91001;;06;047009;U;0;00000000
10090000;2;Berliner Volksbank;16909;Wittstock/Dosse;Berliner VB Wittstock;91001;;06;047010;U;0;00000000
10090000;2;Berliner Volksbank;16775;Gransee;Berliner VB Gransee;91001;;06;047021;U;0;00000000
10090000;2;Berliner Volksbank;14558;Nuthetal;Berliner Volksbank Saarmund;91001;;06;047443;U;0;00000000
10090000;2;Berliner Volksbank;15732;Eichwalde;Berliner Volksbank;91001;;06;048382;U;0;00000000
10090000;2;Berliner Volksbank;16348;Wandlitz;Berliner Volksbank;91001;;06;048384;U;0;00000000
10090000;2;Berliner Volksbank;16761;Hennigsdorf;Berliner VB Hennigsdorf;91001;;06;048909;U;0;00000000
10090000;2;Berliner Volksbank;16775;Lîwenberger Land;Berliner VB Lîwenberg;91001;;06;049392;U;0;00000000
10090000;2;Berliner Volksbank;16798;FÅrstenberg/Havel;Berliner VB FÅrstenberg;91001;;06;049394;U;0;00000000
10090000;2;Berliner Volksbank;16247;Joachimsthal;Berliner VB Joachimsthal;91001;;06;049434;U;0;00000000
10090000;2;Berliner Volksbank;16225;Eberswalde;Berliner VB Eberswalde;91001;;06;051684;U;0;00000000
10090000;2;Berliner Volksbank;15366;Neuenhagen;Berliner VB Neuenhagen;91001;;06;053326;U;0;00000000
10090000;2;Berliner Volksbank;14612;Falkensee;Berliner VB Falkensee;91001;;06;056636;U;0;00000000
10090000;2;Berliner Volksbank (eh Grundkreditbank);14513;Teltow;Berliner VB Teltow;91001;;06;050571;U;0;00000000
10090000;2;Berliner Volksbank (Gf P2);10892;Berlin;Berliner VB Berlin;81001;;06;053669;U;0;00000000
10090000;2;Berliner Volksbank Fil Rheinsberg;16831;Rheinsberg;Berliner VB Rheinsberg;91001;;06;046040;U;0;00000000
10090000;2;Berliner Volksbank Fil Velten;16727;Velten;Berliner VB Velten;91001;;06;047216;U;0;00000000
10090000;2;Volksbank Potsdam Zndl d Berliner Volksbank;14467;Potsdam;Volksbank Potsdam;91001;;06;044983;U;0;00000000
10090300;1;Bank fÅr Schiffahrt (BFS) Fil d Ostfr VB Leer;13353;Berlin;Bk f Schiffahrt BFS Berlin;;GENODEF1BSB;09;021629;U;1;00000000
10090603;1;apoBank;10593;Berlin;apoBank Berlin;91006;DAAEDED1003;A4;030360;U;0;00000000
10090603;2;apoBank;19061;Schwerin;apoBank Schwerin;91006;DAAEDED1042;A4;046110;U;0;00000000
10090603;2;apoBank;01099;Dresden;apoBank Dresden;91006;DAAEDED1043;A4;046126;U;0;00000000
10090603;2;apoBank;04129;Leipzig;apoBank Leipzig;91006;DAAEDED1041;A4;046410;U;0;00000000
10090603;2;apoBank;09111;Chemnitz;apoBank Chemnitz;91006;DAAEDED1049;A4;046553;U;0;00000000
10090603;2;apoBank;99084;Erfurt;apoBank Erfurt;91006;DAAEDED1045;A4;046554;U;0;00000000
10090603;2;apoBank;39104;Magdeburg;apoBank Magdeburg;91006;DAAEDED1046;A4;046555;U;0;00000000
10090603;2;apoBank;14467;Potsdam;apoBank Potsdam;91006;DAAEDED1048;A4;046556;U;0;00000000
10090603;2;apoBank;18057;Rostock;apoBank Rostock;91006;;A4;046557;U;0;00000000
10090900;1;PSD Bank Berlin-Brandenburg;12154;Berlin;PSD Bank Berlin;91008;GENODEF1P01;91;024464;U;0;00000000
10110300;1;Privatbank Berlin von 1929;14004;Berlin;Privatbank Berlin von 1929;26240;MACODEB1XXX;09;000536;U;0;00000000
10110400;1;Investitionsbank Berlin;10702;Berlin;Investitionsbank Berlin;;IBBBDEBBXXX;09;000537;U;0;00000000
10110600;1;quirin bank;10711;Berlin;quirin bank;25207;QUBKDEBBXXX;17;049702;U;0;00000000
10120100;1;Weberbank;10893;Berlin;Weberbank;51012;WELADED1WBB;94;013621;U;0;00000000
10120600;1;Santander Consumer Bank;60313;Frankfurt am Main;Santander Consumer Bank;25007;SCFBDE33XXX;09;044605;U;0;00000000
10120800;1;VON ESSEN Bank;10719;Berlin;VON ESSEN Bank Berlin;26037;VONEDE33BLN;09;044118;U;0;00000000
10130600;1;Isbank Fil Berlin;13303;Berlin;Isbank Berlin;29835;ISBKDEFXBER;06;043850;U;0;00000000
10130800;1;Fin Tech Group Bank;60327;Frankfurt am Main;Fin Tech Group Bank, Ffm.;25185;BIWBDE33XXX;01;050620;M;0;00000000
10220500;1;Bank of Scotland Ndl Berlin;10178;Berlin;Bank of Scotland Berlin;;BOFSDEB1XXX;00;056412;U;0;00000000
10220600;1;Sydbank Filiale Berlin;14193;Berlin;Sydbank Berlin;;SYBKDE22BER;19;056217;U;0;00000000
10310600;1;Tradegate Wertpapierhandelsbank Berlin;10711;Berlin;Tradegate Berlin;25257;TRDADEB1PBK;09;055068;U;0;00000000
11010100;1;solarisBank;10178;Berlin;solarisBank;;SOBKDEBBXXX;09;056731;U;0;00000000
12016836;1;KfW Kreditanstalt fÅr Wiederaufbau;10117;Berlin;KfW Berlin;;KFWIDEFF100;09;045444;U;0;00000000
12030000;1;Deutsche Kreditbank Berlin;10117;Berlin;Deutsche Kreditbank Berlin;51011;BYLADEM1001;00;046023;U;0;00000000
12030000;2;Deutsche Kreditbank;09111;Chemnitz;Deutsche Kreditbk Chemnitz;51011;;00;049243;U;0;00000000
12030000;2;Deutsche Kreditbank;04109;Leipzig;Deutsche Kreditbank Leipzig;51011;;00;049244;U;0;00000000
12030000;2;Deutsche Kreditbank;01069;Dresden;Deutsche Kreditbank Dresden;51011;;00;049245;U;0;00000000
12030000;2;Deutsche Kreditbank;98527;Suhl;Deutsche Kreditbank Suhl;51011;;00;049246;U;0;00000000
12030000;2;Deutsche Kreditbank;07545;Gera;Deutsche Kreditbank Gera;51011;;00;049247;U;0;00000000
12030000;2;Deutsche Kreditbank;99084;Erfurt;Deutsche Kreditbank Erfurt;51011;;00;049248;U;0;00000000
12030000;2;Deutsche Kreditbank;06122;Halle (Saale);Deutsche Kreditbank Halle;51011;;00;049249;U;0;00000000
12030000;2;Deutsche Kreditbank;39104;Magdeburg;Deutsche Kreditbk Magdeburg;51011;;00;049250;U;0;00000000
12030000;2;Deutsche Kreditbank;03046;Cottbus;Deutsche Kreditbank Cottbus;51011;;00;049251;U;0;00000000
12030000;2;Deutsche Kreditbank;15230;Frankfurt (Oder);Deutsche Kreditbank Ff/Oder;51011;;00;049252;U;0;00000000
12030000;2;Deutsche Kreditbank;14471;Potsdam;Deutsche Kreditbank Potsdam;51011;;00;049253;U;0;00000000
12030000;2;Deutsche Kreditbank;17034;Neubrandenburg;Deutsche Kreditbk Neubrandb;51011;;00;049254;U;0;00000000
12030000;2;Deutsche Kreditbank;19053;Schwerin;Deutsche Kreditbk Schwerin;51011;;00;049255;U;0;00000000
12030000;2;Deutsche Kreditbank;18057;Rostock;Deutsche Kreditbank Rostock;51011;;00;049256;U;0;00000000
12030000;2;Deutsche Kreditbank (Gf P2);10117;Berlin;Deutsche Kreditbank (Gf P2);51100;;00;055781;U;0;00000000
12030900;1;Merck Finck Privatbankiers;10719;Berlin;Merck Finck Privatbankiers;26249;MEFIDEMM100;10;047484;U;0;00000000
12040000;1;Commerzbank Filiale Berlin 2;10891;Berlin;Commerzbank Fil. Berlin 2;24120;COBADEBB120;13;044795;U;0;00000000
12050555;1;ZVA Norddeutsche Landesbank Gf SA;30151;Hannover;ZVA NORD LB Gf SA;;NOLADE21DVS;09;047224;U;0;00000000
12060000;1;DZ BANK;10001;Berlin;DZ BANK;;GENODEFF120;09;044802;U;0;00000000
12070000;1;Deutsche Bank Ld Brandenburg;14405;Potsdam;Deutsche Bank Ld Brandenbg;27704;DEUTDEBB160;63;044796;U;0;00000000
12070000;2;Deutsche Bank;16252;Bad Freienwalde (Oder);Deutsche Bank Bad Freienwde;27704;DEUTDEBB172;63;046146;U;0;00000000
12070000;2;Deutsche Bank;16311;Bernau bei Berlin;Deutsche Bank Bernau;27704;DEUTDEBB122;63;046147;U;0;00000000
12070000;2;Deutsche Bank;14776;Brandenburg an der Havel;Deutsche Bank Brandenburg;27704;DEUTDEBB161;63;046148;U;0;00000000
12070000;2;Deutsche Bank;03046;Cottbus;Deutsche Bank Cottbus;27704;DEUTDEBB180;63;046149;U;0;00000000
12070000;2;Deutsche Bank;16225;Eberswalde;Deutsche Bank Eberswalde;27704;DEUTDEBB173;63;046150;U;0;00000000
12070000;2;Deutsche Bank;15873;EisenhÅttenstadt;Deutsche Bank EisenhÅttenst;27704;DEUTDEBB174;63;046151;U;0;00000000
12070000;2;Deutsche Bank;03232;Finsterwalde;Deutsche Bank Finsterwalde;27704;DEUTDEBB182;63;046152;U;0;00000000
12070000;2;Deutsche Bank;15203;Frankfurt (Oder);Deutsche Bank Frankfurt Od;27704;DEUTDEBB170;63;046153;U;0;00000000
12070000;2;Deutsche Bank;15501;FÅrstenwalde/Spree;Deutsche Bank FÅrstenwalde;27704;DEUTDEBB175;63;046154;U;0;00000000
12070000;2;Deutsche Bank;14902;JÅterbog;Deutsche Bank JÅterbog;27704;DEUTDEBB187;63;046155;U;0;00000000
12070000;2;Deutsche Bank;15701;Kînigs Wusterhausen;Deutsche Bank Kînigs Wuster;27704;DEUTDEBB121;63;046156;U;0;00000000
12070000;2;Deutsche Bank;16856;Kyritz;Deutsche Bank Kyritz;27704;DEUTDEBB163;63;046157;U;0;00000000
12070000;2;Deutsche Bank;16801;Neuruppin;Deutsche Bank Neuruppin;27704;DEUTDEBB123;63;046158;U;0;00000000
12070000;2;Deutsche Bank;16502;Oranienburg;Deutsche Bank Oranienburg;27704;DEUTDEBB120;63;046159;U;0;00000000
12070000;2;Deutsche Bank;10883;Berlin;Deutsche Bank Ld Brandenbg;27704;;63;046160;U;0;00000000
12070000;2;Deutsche Bank;16921;Pritzwalk;Deutsche Bank Pritzwalk;27704;DEUTDEBB166;63;046161;U;0;00000000
12070000;2;Deutsche Bank;14712;Rathenow;Deutsche Bank Rathenow;27704;DEUTDEBB167;63;046162;U;0;00000000
12070000;2;Deutsche Bank;16285;Schwedt/Oder;Deutsche Bank Schwedt;27704;DEUTDEBB176;63;046163;U;0;00000000
12070000;2;Deutsche Bank;15301;Seelow;Deutsche Bank Seelow;27704;DEUTDEBB177;63;046164;U;0;00000000
12070000;2;Deutsche Bank;01968;Senftenberg;Deutsche Bank Senftenberg;27704;DEUTDEBB185;63;046165;U;0;00000000
12070000;2;Deutsche Bank;03122;Spremberg;Deutsche Bank Spremberg;27704;DEUTDEBB186;63;046166;U;0;00000000
12070000;2;Deutsche Bank;02931;Wei·wasser/O.L.;Deutsche Bank Wei·wasser;27704;DEUTDEBB189;63;046167;U;0;00000000
12070000;2;Deutsche Bank;03161;Guben;Deutsche Bank Guben;27704;DEUTDEBB183;63;046168;U;0;00000000
12070000;2;Deutsche Bank;16901;Wittstock/Dosse;Deutsche Bank Wittstock;27704;DEUTDEBB169;63;046169;U;0;00000000
12070000;2;Deutsche Bank;15801;Zossen;Deutsche Bank Zossen;27704;DEUTDEBB124;63;046170;U;0;00000000
12070000;2;Deutsche Bank;16278;AngermÅnde;Deutsche Bank AngermÅnde;27704;DEUTDEBB171;63;048454;U;0;00000000
12070000;2;Deutsche Bank;14612;Falkensee;Deutsche Bank Falkensee;27704;DEUTDEBB162;63;048455;U;0;00000000
12070000;2;Deutsche Bank;03149;Forst (Lausitz);Deutsche Bank Forst;27704;DEUTDEBB181;63;048456;U;0;00000000
12070000;2;Deutsche Bank;16761;Hennigsdorf;Deutsche Bank Hennigsdorf;27704;DEUTDEBB125;63;048457;U;0;00000000
12070000;2;Deutsche Bank;14943;Luckenwalde;Deutsche Bank Luckenwalde;27704;DEUTDEBB188;63;048458;U;0;00000000
12070000;2;Deutsche Bank;14974;Ludwigsfelde;Deutsche Bank Ludwigsfelde;27704;DEUTDEBB164;63;048459;U;0;00000000
12070000;2;Deutsche Bank;15907;LÅbben (Spreewald);Deutsche Bank LÅbben;27704;DEUTDEBB184;63;048460;U;0;00000000
12070000;2;Deutsche Bank;01987;Schwarzheide;Deutsche Bank Schwarzheide;27704;DEUTDEBB126;63;048461;U;0;00000000
12070000;2;Deutsche Bank;15344;Strausberg;Deutsche Bank Strausberg;27704;DEUTDEBB178;63;048462;U;0;00000000
12070000;2;Deutsche Bank;14513;Teltow;Deutsche Bank Teltow;27704;DEUTDEBB127;63;048463;U;0;00000000
12070000;2;Deutsche Bank;14542;Werder (Havel);Deutsche Bank Werder Havel;27704;DEUTDEBB168;63;048464;U;0;00000000
12070000;2;Deutsche Bank;14641;Nauen;Deutsche Bank Nauen;27704;DEUTDEBB165;63;048515;U;0;00000000
12070024;1;Deutsche Bank Privat und GeschÑftskunden;14405;Potsdam;Deutsche Bank PGK Brandenbg;21704;DEUTDEDB160;63;049761;U;0;00000000
12070024;2;Deutsche Bank Privat und GeschÑftskunden;16278;AngermÅnde;Deutsche Bank PGK AngermÅn;21704;DEUTDEDB171;63;049759;U;0;00000000
12070024;2;Deutsche Bank Privat und GeschÑftskunden;16252;Bad Freienwalde (Oder);Deutsche Bank PGK Bad Freie;21704;DEUTDEDB172;63;049760;U;0;00000000
12070024;2;Deutsche Bank Privat und GeschÑftskunden;16311;Bernau bei Berlin;Deutsche Bank PGK Bernau;21704;DEUTDEDB122;63;049762;U;0;00000000
12070024;2;Deutsche Bank Privat und GeschÑftskunden;03046;Cottbus;Deutsche Bank PGK Cottbus;21704;DEUTDEDB180;63;049764;U;0;00000000
12070024;2;Deutsche Bank Privat und GeschÑftskunden;16225;Eberswalde;Deutsche Bank PGK Eberswald;21704;DEUTDEDB173;63;049765;U;0;00000000
12070024;2;Deutsche Bank Privat und GeschÑftskunden;15873;EisenhÅttenstadt;Deutsche Bank PGK EisenhÅtt;21704;DEUTDEDB174;63;049766;U;0;00000000
12070024;2;Deutsche Bank Privat und GeschÑftskunden;14612;Falkensee;Deutsche Bank PGK Falkensee;21704;DEUTDEDB162;63;049767;U;0;00000000
12070024;2;Deutsche Bank Privat und GeschÑftskunden;03232;Finsterwalde;Deutsche Bank PGK Finsterwa;21704;DEUTDEDB182;63;049768;U;0;00000000
12070024;2;Deutsche Bank Privat und GeschÑftskunden;03149;Forst (Lausitz);Deutsche Bank PGK Forst;21704;DEUTDEDB181;63;049769;U;0;00000000
12070024;2;Deutsche Bank Privat und GeschÑftskunden;15203;Frankfurt (Oder);Deutsche Bank PGK Frankfurt;21704;DEUTDEDB170;63;049770;U;0;00000000
12070024;2;Deutsche Bank Privat und GeschÑftskunden;15501;FÅrstenwalde/Spree;Deutsche Bank PGK FÅrstenw;21704;DEUTDEDB175;63;049771;U;0;00000000
12070024;2;Deutsche Bank Privat und GeschÑftskunden;03161;Guben;Deutsche Bank PGK Guben;21704;DEUTDEDB183;63;049772;U;0;00000000
12070024;2;Deutsche Bank Privat und GeschÑftskunden;16761;Hennigsdorf;Deutsche Bank PGK Hennigsdo;21704;DEUTDEDB125;63;049773;U;0;00000000
12070024;2;Deutsche Bank Privat und GeschÑftskunden;14902;JÅterbog;Deutsche Bank PGK JÅterbog;21704;DEUTDEDB187;63;049774;U;0;00000000
12070024;2;Deutsche Bank Privat und GeschÑftskunden;15701;Kînigs Wusterhausen;Deutsche Bank PGK Kînigs-Wu;21704;DEUTDEDB121;63;049775;U;0;00000000
12070024;2;Deutsche Bank Privat und GeschÑftskunden;16856;Kyritz;Deutsche Bank PGK Kyritz;21704;DEUTDEDB163;63;049776;U;0;00000000
12070024;2;Deutsche Bank Privat und GeschÑftskunden;14943;Luckenwalde;Deutsche Bank PGK Luckenwal;21704;DEUTDEDB188;63;049777;U;0;00000000
12070024;2;Deutsche Bank Privat und GeschÑftskunden;14974;Ludwigsfelde;Deutsche Bank PGK Ludwigsfe;21704;DEUTDEDB164;63;049778;U;0;00000000
12070024;2;Deutsche Bank Privat und GeschÑftskunden;15907;LÅbben (Spreewald);Deutsche Bank PGK LÅbben;21704;DEUTDEDB184;63;049779;U;0;00000000
12070024;2;Deutsche Bank Privat und GeschÑftskunden;14641;Nauen;Deutsche Bank PGK Nauen;21704;DEUTDEDB165;63;049780;U;0;00000000
12070024;2;Deutsche Bank Privat und GeschÑftskunden;16801;Neuruppin;Deutsche Bank PGK Neuruppin;21704;DEUTDEDB123;63;049781;U;0;00000000
12070024;2;Deutsche Bank Privat und GeschÑftskunden;16502;Oranienburg;Deutsche Bank PGK Oranienbg;21704;DEUTDEDB120;63;049782;U;0;00000000
12070024;2;Deutsche Bank Privat und GeschÑftskunden;10883;Berlin;Deutsche Bank PGK Brandenbg;21704;;63;049783;U;0;00000000
