Bankleitzahl;Merkmal;Bezeichnung;PLZ;Ort;Kurzbezeichnung;PAN;BIC;PrÅfziffer-berechnungs-methode;Datensatz-nummer;énderungs-kennzeichen;Bankleitzahl-lîschung;Nachfolge-Bankleitzahl
48070020;2;Deutsche Bank;33777;Halle (Westf.);Deutsche Bank Halle Westf;27330;DEUTDE3B483;63;005792;U;0;00000000
48070020;2;Deutsche Bank;33804;Oerlinghausen;Deutsche Bank Oerlinghausen;27330;DEUTDE3B486;63;006833;U;0;00000000
48070024;1;Deutsche Bank Privat und GeschÑftskunden;33501;Bielefeld;Deutsche Bank PGK Bielefeld;21330;DEUTDEDBBIE;63;050098;U;0;00000000
48070024;2;Deutsche Bank Privat und GeschÑftskunden;33777;Halle (Westf.);Deutsche Bank PGK Halle Wes;21330;DEUTDEDB483;63;050099;U;0;00000000
48070024;2;Deutsche Bank Privat und GeschÑftskunden;33804;Oerlinghausen;Deutsche Bank PGK Oerlingha;21330;DEUTDEDB486;63;050100;U;0;00000000
48070024;2;Deutsche Bank Privat und GeschÑftskunden;59243;Beckum;Deutsche Bank PGK Beckum;21330;DEUTDEDB413;63;050101;U;0;00000000
48070024;2;Deutsche Bank Privat und GeschÑftskunden;33244;GÅtersloh;Deutsche Bank PGK GÅtersloh;21330;DEUTDEDB480;63;050102;U;0;00000000
48070024;2;Deutsche Bank Privat und GeschÑftskunden;33416;Harsewinkel;Deutsche Bank PGK Harsewink;21330;DEUTDEDB484;63;050103;U;0;00000000
48070024;2;Deutsche Bank Privat und GeschÑftskunden;59281;Oelde;Deutsche Bank PGK Oelde;21330;DEUTDEDB485;63;050104;U;0;00000000
48070024;2;Deutsche Bank Privat und GeschÑftskunden;33341;Rheda-WiedenbrÅck;Deutsche Bank PGK Rheda-Wie;21330;DEUTDEDB487;63;050105;U;0;00000000
48070024;2;Deutsche Bank Privat und GeschÑftskunden;33398;Verl;Deutsche Bank PGK Verl;21330;DEUTDEDB489;63;050106;U;0;00000000
48070024;2;Deutsche Bank Privat und GeschÑftskunden;32215;BÅnde;Deutsche Bank PGK BÅnde Wes;21330;DEUTDEDB492;63;050107;U;0;00000000
48070024;2;Deutsche Bank Privat und GeschÑftskunden;32004;Herford;Deutsche Bank PGK Herford;21330;DEUTDEDB481;63;050108;U;0;00000000
48070024;2;Deutsche Bank Privat und GeschÑftskunden;32131;Spenge;Deutsche Bank PGK Spenge;21330;DEUTDEDB488;63;050109;U;0;00000000
48070040;1;Deutsche Bank;33244;GÅtersloh;Deutsche Bank GÅtersloh;27061;DEUTDE3B480;63;005675;U;0;00000000
48070042;1;Deutsche Bank;33416;Harsewinkel;Deutsche Bank Harsewinkel;27062;DEUTDE3B484;63;041473;U;0;00000000
48070043;1;Deutsche Bank;33398;Verl;Deutsche Bank Verl;27063;DEUTDE3B489;63;041471;U;0;00000000
48070044;1;Deutsche Bank;33341;Rheda-WiedenbrÅck;Deutsche Bank Rheda-Wiedenb;27064;DEUTDE3B487;63;041472;U;0;00000000
48070045;1;Deutsche Bank;59243;Beckum;Deutsche Bank Beckum Westf;27067;DEUTDE3B413;63;041475;U;0;00000000
48070050;1;Deutsche Bank;32004;Herford;Deutsche Bank Herford;27065;DEUTDE3B481;63;005770;U;0;00000000
48070052;1;Deutsche Bank;32215;BÅnde;Deutsche Bank BÅnde Westf;27066;DEUTDE3B492;63;032928;U;0;00000000
48080020;1;Commerzbank vormals Dresdner Bank;33502;Bielefeld;Commerzbank Bielefeld;28480;DRESDEFF480;76;005283;U;0;00000000
48080020;2;Commerzbank vormals Dresdner Bank;32215;BÅnde;Commerzbank BÅnde Westf;28480;;76;005273;U;0;00000000
48080020;2;Commerzbank vormals Dresdner Bank;32705;Detmold;Commerzbank Detmold;28480;;76;005331;U;0;00000000
48080020;2;Commerzbank vormals Dresdner Bank;34421;Marsberg;Commerzbank Marsberg;28480;;76;005537;U;0;00000000
48080020;2;Commerzbank vormals Dresdner Bank;32004;Herford;Commerzbank Herford;28480;;76;005588;U;0;00000000
48080020;2;Commerzbank vormals Dresdner Bank;33044;Paderborn;Commerzbank Paderborn;28480;;76;006765;U;0;00000000
48080020;2;Commerzbank vormals Dresdner Bank;32632;Lemgo;Commerzbank Lemgo;28480;;76;042892;U;0;00000000
48080020;2;Commerzbank vormals Dresdner Bank;32064;Bad Salzuflen;Commerzbank Bad Salzufeln;28480;;76;042893;U;0;00000000
48089350;1;Commerzbank vormals Dresdner Bank ITGK;33502;Bielefeld;Commerzbk ITGK Bielefeld;;DRESDEFFI19;09;050778;U;0;00000000
48250110;1;Sparkasse Lemgo;32655;Lemgo;Sparkasse Lemgo;54106;WELADED1LEM;00;018297;U;0;00000000
48250110;2;Sparkasse Lemgo;33818;Leopoldshîhe;Sparkasse Lemgo;54106;;00;014615;U;0;00000000
48250110;2;Sparkasse Lemgo;33813;Oerlinghausen;Sparkasse Lemgo;54106;;00;014649;U;0;00000000
48250110;2;Sparkasse Lemgo;32689;Kalletal;Sparkasse Lemgo;54106;;00;018275;U;0;00000000
48250110;2;Sparkasse Lemgo;32699;Extertal;Sparkasse Lemgo;54106;;00;018279;U;0;00000000
48250110;2;Sparkasse Lemgo;32694;Dîrentrup;Sparkasse Lemgo;54106;;00;018329;U;0;00000000
48250110;2;Sparkasse Lemgo;32102;Bad Salzuflen;Sparkasse Lemgo;54106;;00;051685;U;0;00000000
48262248;1;Volksbank Nordlippe -alt-;32699;Extertal;Volksbank Nordlippe -alt-;64149;GENODEM1NLE;34;018541;U;0;00000000
48262248;2;Volksbank Nordlippe (Gf P2);32699;Extertal;Volksbank Nordlippe;74149;;34;054051;U;0;00000000
48291490;1;Volksbank Bad Salzuflen;32096;Bad Salzuflen;Volksbank Bad Salzuflen;94011;GENODEM1BSU;34;022637;U;0;00000000
48291490;2;Volksbank Bad Salzuflen (Gf P2);32096;Bad Salzuflen;Volksbank Bad Salzuflen;84011;;34;054052;U;0;00000000
48291490;2;Volksbank Bad Salzuflen (Zw Lemgo-Kirchheide);32657;Lemgo;Volksbank Bad Salzuflen;94011;;34;055367;U;0;00000000
48291490;2;Volksbank Bad Salzuflen Zw Leopoldshîhe;33818;Leopoldshîhe;Volksbank Bad Salzuflen;94011;;34;034139;U;0;00000000
48291490;2;Volksbank Barntrup Ndl d VB Bad Salzuflen;32679;Barntrup;Volksbank Barntrup;94011;;34;055368;U;0;00000000
48291490;2;Volksbank Exertal Ndl d VB Bad Salzuflen;32699;Extertal;Volksbank Exertal;94011;;34;055370;U;0;00000000
48291490;2;Volksbank Kalletal Ndl d VB Bad Salzuflen;32689;Kalletal;Volksbank Kalletal;94011;;34;055369;U;0;00000000
49040043;1;Commerzbank;32423;Minden;Commerzbank Minden Westf;24487;COBADEFFXXX;13;043687;U;0;00000000
49050101;1;Sparkasse Minden-LÅbbecke;32382;Minden;Sparkasse Minden-LÅbbecke;54054;WELADED1MIN;00;014635;U;0;00000000
49050101;2;Sparkasse Minden-LÅbbecke;32351;Stemwede;Sparkasse Minden-LÅbbecke;54054;;00;014538;U;0;00000000
49050101;2;Sparkasse Minden-LÅbbecke;32339;Espelkamp;Sparkasse Minden-LÅbbecke;54054;;00;014551;U;0;00000000
49050101;2;Sparkasse Minden-LÅbbecke;32479;Hille;Sparkasse Minden-LÅbbecke;54054;;00;014584;U;0;00000000
49050101;2;Sparkasse Minden-LÅbbecke;32609;HÅllhorst;Sparkasse Minden-LÅbbecke;54054;;00;014598;U;0;00000000
49050101;2;Sparkasse Minden-LÅbbecke;32294;LÅbbecke;Sparkasse Minden-LÅbbecke;54054;;00;014624;U;0;00000000
49050101;2;Sparkasse Minden-LÅbbecke;32469;Petershagen;Sparkasse Minden-LÅbbecke;54054;;00;014659;U;0;00000000
49050101;2;Sparkasse Minden-LÅbbecke;32361;Preu·isch Oldendorf;Sparkasse Minden-LÅbbecke;54054;;00;014663;U;0;00000000
49051065;1;Stadtsparkasse Rahden;32362;Rahden;Stadtsparkasse Rahden;54055;WELADED1RHD;00;012130;U;0;00000000
49051285;1;Stadtsparkasse Bad Oeynhausen;32543;Bad Oeynhausen;St Spk Bad Oeynhausen;54060;WELADED1OEH;00;014504;U;0;00000000
49051990;1;Stadtsparkasse Porta Westfalica;32457;Porta Westfalica;St Spk Porta Westfalica;54063;WELADED1PWF;00;012161;M;0;00000000
49060127;1;Volksbank Mindener Land;32387;Minden;Volksbank Mindener Land;64034;GENODEM1MPW;34;018505;U;0;00000000
49060127;2;Volksbank Mindener Land;32457;Porta Westfalica;Volksbank Mindener Land;64034;;34;018594;U;0;00000000
49060127;2;Volksbank Mindener Land;32479;Hille;Volksbank Mindener Land;64034;;34;051686;U;0;00000000
49060127;2;Volksbank Mindener Land;32469;Petershagen;Volksbank Mindener Land;64034;;34;056262;U;0;00000000
49060127;2;Volksbank Mindener Land (Gf P2);32387;Minden;Volksbank Mindener Land;74034;;34;054053;U;0;00000000
49060392;1;Volksbank Minden;32389;Minden;Volksbank Minden;64041;GENODEM1MND;34;022099;U;0;00000000
49060392;2;Volksbank Minden (Gf P2);32389;Minden;Volksbank Minden;74041;;34;054054;U;0;00000000
49061298;1;Volksbank Bad Oeynhausen -alt-;32512;Bad Oeynhausen;VB Bad Oeynhausen -alt-;;GENODEM1UBO;34;021570;U;0;00000000
49061470;1;Volksbank Stemweder Berg -alt-;32369;Rahden;VB Stemweder Berg -alt-;64095;GENODEM1STR;34;022754;U;1;00000000
49061510;1;Volksbank Eisbergen -alt-;32457;Porta Westfalica;Volksbank Eisbergen -alt-;64100;GENODEM1EPW;34;019258;U;0;00000000
49061510;2;Volksbank Eisbergen (Gf P2);32457;Porta Westfalica;Volksbank Eisbergen;74100;;34;054055;U;0;00000000
49070024;1;Deutsche Bank Privat und GeschÑftskunden;32423;Minden;Deutsche Bank PGK Minden;21337;DEUTDEDB490;63;050114;U;0;00000000
49070024;2;Deutsche Bank Privat und GeschÑftskunden;32503;Bad Oeynhausen;Deutsche Bank PGK Bad Oeynh;21337;DEUTDEDB491;63;050110;U;0;00000000
49070024;2;Deutsche Bank Privat und GeschÑftskunden;32325;Espelkamp;Deutsche Bank PGK Espelkamp;21337;DEUTDEDB493;63;050111;U;0;00000000
49070024;2;Deutsche Bank Privat und GeschÑftskunden;32555;Lîhne;Deutsche Bank PGK Lîhne;21337;DEUTDEDB494;63;050112;U;0;00000000
49070024;2;Deutsche Bank Privat und GeschÑftskunden;32292;LÅbbecke;Deutsche Bank PGK LÅbbecke;21337;DEUTDEDB495;63;050113;U;0;00000000
49070028;1;Deutsche Bank;32423;Minden;Deutsche Bank Minden, Westf;27337;DEUTDE3B490;63;005721;U;0;00000000
49070028;2;Deutsche Bank;32503;Bad Oeynhausen;Deutsche Bank Bad Oeynhause;27337;DEUTDE3B491;63;004937;U;0;00000000
49070028;2;Deutsche Bank;32555;Lîhne;Deutsche Bank Lîhne Westf;27337;DEUTDE3B494;63;005803;U;0;00000000
49070028;2;Deutsche Bank;32325;Espelkamp;Deutsche Bank Espelkamp;27337;DEUTDE3B493;63;011994;U;0;00000000
49070028;2;Deutsche Bank;32292;LÅbbecke;Deutsche Bank LÅbbecke;27337;DEUTDE3B495;63;043841;U;0;00000000
49080025;1;Commerzbank vormals Dresdner Bank;32379;Minden;Commerzbank Minden Westf;28490;DRESDEFF491;76;005563;U;0;00000000
49080025;2;Commerzbank vormals Dresdner Bank;32503;Bad Oeynhausen;Commerzbank Bad Oeynhaus;28490;;76;005301;U;0;00000000
49080025;2;Commerzbank vormals Dresdner Bank;32292;LÅbbecke;Commerzbank LÅbbecke;28490;;76;005605;U;0;00000000
49092650;1;Volksbank LÅbbecker Land;32295;LÅbbecke;Volksbank LÅbbecker Land;94012;GENODEM1LUB;34;022047;U;0;00000000
49092650;2;Volksbank LÅbbecker Land;32339;Espelkamp;Volksbank LÅbbecker Land;94012;;34;018644;U;0;00000000
49092650;2;Volksbank LÅbbecker Land;32361;Preu·isch Oldendorf;Volksbank LÅbbecker Land;94012;;34;018684;U;0;00000000
49092650;2;Volksbank LÅbbecker Land;49448;Lemfîrde;Volksbank LÅbbecker Land;94012;;34;051687;U;0;00000000
49092650;2;Volksbank LÅbbecker Land;32351;Stemwede;Volksbank LÅbbecker Land;94012;;34;051688;U;0;00000000
49092650;2;Volksbank LÅbbecker Land;32369;Rahden;Volksbank LÅbbecker Land;94012;;34;051689;U;0;00000000
49092650;2;Volksbank LÅbbecker Land (Gf P2);32295;LÅbbecke;Volksbank LÅbbecker Land;84012;;34;054057;U;0;00000000
49240096;1;Commerzbank;32214;BÅnde;Commerzbank BÅnde Westf;24481;COBADEFFXXX;13;005027;U;0;00000000
49240096;2;Commerzbank;32291;LÅbbecke;Commerzbank LÅbbecke Westf;24481;;13;006182;U;0;00000000
49262364;1;Volksbank Schnathorst;32606;HÅllhorst;Volksbank Schnathorst;64163;GENODEM1SNA;34;019029;U;0;00000000
49262364;2;Volksbank Schnathorst;32584;Lîhne;Volksbank Schnathorst;64163;;34;019217;U;0;00000000
49262364;2;Volksbank Schnathorst (Gf P2);32606;HÅllhorst;Volksbank Schnathorst;74163;;34;054058;U;0;00000000
49440043;1;Commerzbank;32004;Herford;Commerzbank Herford;24484;COBADEFFXXX;13;006159;U;0;00000000
49440043;2;Commerzbank;32502;Bad Oeynhausen;Commerzbank Bad Oeynhausen;24484;;13;005055;U;0;00000000
49450120;1;Sparkasse Herford;32045;Herford;Sparkasse Herford;54080;WLAHDE44XXX;00;012374;U;0;00000000
49450120;2;Sparkasse Herford;32285;Rîdinghausen;Sparkasse Herford;54080;;00;012219;U;0;00000000
49450120;2;Sparkasse Herford;32132;Spenge;Sparkasse Herford;54080;;00;012241;U;0;00000000
49450120;2;Sparkasse Herford;32269;Kirchlengern;Sparkasse Herford;54080;;00;012345;U;0;00000000
49450120;2;Sparkasse Herford;32122;Enger;Sparkasse Herford;54080;;00;012351;U;0;00000000
49450120;2;Sparkasse Herford;32591;Vlotho;Sparkasse Herford;54080;;00;018281;U;0;00000000
49450120;2;Sparkasse Herford;32120;Hiddenhausen;Sparkasse Herford;54080;;00;018313;U;0;00000000
49450120;2;Sparkasse Herford;32221;BÅnde;Sparkasse Herford;54080;;00;018343;U;0;00000000
49450120;2;Sparkasse Herford;32556;Lîhne;Sparkasse Herford;54080;;00;029994;U;0;00000000
49461323;1;Volksbank Enger-Spenge -alt-;32123;Enger;Volksbank Enger-Spenge -alt;64078;GENODEM1ESP;34;019270;U;0;00000000
49490070;1;Volksbank Bad Oeynhausen-Herford;32049;Herford;VB Bad Oeynhausen-Herford;94001;GENODEM1HFV;34;022314;U;0;00000000
49490070;2;Volksbank Bad Oeynhausen-Herford;32549;Bad Oeynhausen;VB Bad Oeynhausen-Herford;94001;;34;050817;U;0;00000000
49490070;2;Volksbank Bad Oeynhausen-Herford;32479;Hille;VB Bad Oeynhausen-Herford;94001;;34;050818;U;0;00000000
49490070;2;Volksbank Bad Oeynhausen-Herford;49328;Melle;VB Bad Oeynhausen-Herford;94001;;34;056008;U;0;00000000
49490070;2;Volksbank Bad Oeynhausen-Herford (Gf P2);32049;Herford;VB Bad Oeynhausen-Herford;84001;;34;054060;U;0;00000000
49490070;2;Volksbank BÅnde Zndl d VB Bad Oeynhausen-Herford;32257;BÅnde;VB Bad Oeynhausen-Herford;94001;;34;023147;U;0;00000000
49490070;2;Volksbank Enger, Zndl d VB Bad Oeynhausen-Herford;32130;Enger;VB Bad Oeynhausen-Herford;94001;;34;056007;U;0;00000000
49490070;2;Volksbank Hiddenhaus Zndl d VB Bad Oeynhausen-Herford;32120;Hiddenhausen;VB Bad Oeynhausen-Herford;94001;;34;021181;U;0;00000000
49490070;2;Volksbank Kirchleng Zndl d VB Bad Oeynhausen-Herford;32278;Kirchlengern;VB Bad Oeynhausen-Herford;94001;;34;021210;U;0;00000000
49490070;2;Volksbank Lîhne Zndl d VB Bad Oeynhausen-Herford;32584;Lîhne;VB Bad Oeynhausen-Herford;94001;;34;020411;U;0;00000000
49490070;2;Volksbank Spenge, Zndl d VB Bad Oeynhausen-Herford;32139;Spenge;VB Bad Oeynhausen-Herford;94001;;34;056006;U;0;00000000
49490070;2;Volksbank Vlotho Zndl d VB Bad Oeynhausen-Herford;32602;Vlotho;VB Bad Oeynhausen-Herford;94001;;34;050819;U;0;00000000
50000000;1;Bundesbank;60047;Frankfurt am Main;BBk Filiale Frankfurt Main;20500;MARKDEF1500;09;011480;U;0;00000000
50010060;1;Postbank;60288;Frankfurt am Main;Postbank Frankfurt Main;10060;PBNKDEFFXXX;24;013558;U;0;00000000
50010111;1;SEB;60283;Frankfurt am Main;SEB Frankfurt Main;25825;ESSEDE5FXXX;13;004811;U;0;00000000
50010111;2;SEB;63263;Neu-Isenburg;SEB Neu Isenburg;25825;ESSEDE5F502;13;005627;U;0;00000000
50010111;2;SEB;65428;RÅsselsheim am Main;SEB RÅsselsheim;25825;ESSEDE5F503;13;044408;U;0;00000000
50010111;2;SEB;61348;Bad Homburg;SEB Bad Homburg;25825;ESSEDE5F501;13;046926;U;0;00000000
50010111;2;SEB;65843;Sulzbach (Taunus);SEB Sulzbach Taunus;25825;ESSEDE5F504;13;046927;U;0;00000000
50010200;1;AKBANK;60310;Frankfurt am Main;AKBANK;29562;AKBKDEFFXXX;09;049639;U;0;00000000
50010424;1;Aareal Bank;60284;Frankfurt am Main;Aareal Bank;26914;AARBDE5W500;09;004824;U;0;00000000
50010517;1;ING-DiBa;60628;Frankfurt am Main;ING-DiBa Frankfurt am Main;29165;INGDDEFFXXX;C1;010750;U;0;00000000
50010700;1;Degussa Bank;60605;Frankfurt am Main;Degussa Bank Frankfurt Main;29135;DEGUDEFFXXX;B7;013559;U;0;00000000
50010700;2;Degussa Bank;63755;Alzenau;Degussa Bank Alzenau;29135;;B7;048274;U;0;00000000
50010700;2;Degussa Bank;59704;Arnsberg;Degussa Bank Arnsberg;29135;;B7;048275;U;0;00000000
